ID,eC_number,logFC,AveExpr,t,P.Value,adj.P.Val,B
BJEIHDPM_01619,3.4.21.-,-4.956411415,7.995220327,-22.07153333,2.55324638401413e-26,8.06120355058145e-25,49.60283529
BJEIHDPM_02308,1.2.1.46,-5.130613357,7.362204612,-22.05843082,2.61869256337657e-26,8.2137945174145e-25,49.4067738
BJEIHDPM_01719,pstC1,-4.885839011,8.159657669,-22.04002456,2.71353108213221e-26,8.45599718386524e-25,49.56501432
BJEIHDPM_03860,inference=ab initio prediction:Prodigal:2.6,-5.060999782,7.4172194,-22.03092626,2.76169619527582e-26,8.55056776847011e-25,49.3755619
BJEIHDPM_00871,6.2.1.3,-4.813505961,7.784144729,-22.02750642,2.78002492979106e-26,8.55214079363288e-25,49.46342432
BJEIHDPM_01567,tauA,-4.880419468,7.843158471,-22.00802898,2.88680529001606e-26,8.8240627941319e-25,49.4274664
BJEIHDPM_03849,inference=ab initio prediction:Prodigal:2.6,-5.045195828,7.592639719,-21.99157862,2.98024307618906e-26,9.05201678647551e-25,49.32335237
BJEIHDPM_01976,norG_1,-4.896655918,7.836251342,-21.98057427,3.04446340009209e-26,9.18891814908298e-25,49.38000964
BJEIHDPM_02992,inference=ab initio prediction:Prodigal:2.6,-5.913145277,7.782209954,-21.96231525,3.15415028059684e-26,9.45975988644189e-25,49.22933858
BJEIHDPM_01888,inference=ab initio prediction:Prodigal:2.6,-5.155596625,7.081300197,-21.95914161,3.17362229988986e-26,9.45975988644189e-25,49.15568478
BJEIHDPM_01663,inference=ab initio prediction:Prodigal:2.6,-5.473224582,7.168318817,-21.95365856,3.20755298555801e-26,9.50188072697091e-25,49.13416754
BJEIHDPM_02540,mscS_1,-5.091891204,7.530504112,-21.9376504,3.30874771206722e-26,9.74152163816601e-25,49.22751579
BJEIHDPM_02319,creD,-5.161451677,7.411365928,-21.91805669,3.43705150384893e-26,1.00575671749823e-24,49.15611248
BJEIHDPM_01906,inference=ab initio prediction:Prodigal:2.6,-4.864143025,7.405094211,-21.91247435,3.47452616759949e-26,1.00975044748258e-24,49.18094337
BJEIHDPM_01662,clpV1_1,-5.31326204,8.225348687,-21.90952688,3.49448049913475e-26,1.00975044748258e-24,49.29127954
BJEIHDPM_01329,glnE,-5.002419268,7.663310414,-21.90668624,3.51382214481332e-26,1.00975044748258e-24,49.19314365
BJEIHDPM_01870,dauA,-5.12860861,7.426166776,-21.89814786,3.57261874803646e-26,1.01605310196425e-24,49.13026961
BJEIHDPM_00750,1.4.4.2,-5.198502683,7.4228449,-21.89735932,3.57809906713811e-26,1.01605310196425e-24,49.09411016
BJEIHDPM_02086,1.6.5.5,-5.30422536,7.462238709,-21.87435976,3.74177352582027e-26,1.05628065590656e-24,49.07211577
BJEIHDPM_02353,3.4.14.-,-4.814482529,7.428229505,-21.86049471,3.84411086590348e-26,1.07882386230823e-24,49.07601471
BJEIHDPM_03065,accA1_1,-4.735242971,7.589993115,-21.82930465,4.08488123986161e-26,1.13972936454046e-24,49.05652847
BJEIHDPM_02094,3.4.11.9,-5.101236188,7.847563923,-21.81418996,4.20703460934656e-26,1.16397467459722e-24,49.06479309
BJEIHDPM_01656,inference=ab initio prediction:Prodigal:2.6,-5.139185393,7.480879769,-21.80896549,4.25011829928353e-26,1.16397467459722e-24,48.97125428
BJEIHDPM_01165,inference=ab initio prediction:Prodigal:2.6,-4.999664218,7.464830672,-21.80691611,4.26714111987545e-26,1.16397467459722e-24,48.96933115
BJEIHDPM_00870,inference=ab initio prediction:Prodigal:2.6,-4.979995891,8.082305259,-21.80671727,4.2687964727883e-26,1.16397467459722e-24,49.07542327
BJEIHDPM_01602,artQ,-5.309397098,7.575321397,-21.78382238,4.46383912707349e-26,1.21028045032914e-24,48.94501399
BJEIHDPM_03509,"inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q881J7",-5.463298976,7.033459998,-21.77944361,4.50216490220139e-26,1.21381400930699e-24,48.75254526
BJEIHDPM_02812,inference=ab initio prediction:Prodigal:2.6,-5.508728455,6.996373494,-21.74720275,4.79488458260673e-26,1.27522479252942e-24,48.70397417
BJEIHDPM_01694,1.6.1.2,-5.461464581,7.536448526,-21.74526483,4.81308541031183e-26,1.27522479252942e-24,48.8424311
BJEIHDPM_01297,inference=ab initio prediction:Prodigal:2.6,-4.987656157,7.526682569,-21.74507286,4.81489223511064e-26,1.27522479252942e-24,48.87554402
BJEIHDPM_00105,pitA_2,-5.006766821,7.397067639,-21.74281078,4.83623488727558e-26,1.27522479252942e-24,48.8344643
BJEIHDPM_03469,4.1.2.48,-5.214410846,7.216427167,-21.72572695,5.00056637289109e-26,1.3113507116669e-24,48.74662613
BJEIHDPM_01623,4.2.1.46,-4.836459952,8.056740651,-21.71023403,5.1545142791555e-26,1.34437576226452e-24,48.9322174
BJEIHDPM_01243,gcvA_2,-5.338662404,6.94449887,-21.70732073,5.18399815126339e-26,1.34475714204935e-24,48.61515594
BJEIHDPM_02071,yecS_3,-5.110966371,8.1709079,-21.68473621,5.4184747604215e-26,1.39802475135821e-24,48.86814445
BJEIHDPM_04322,inference=ab initio prediction:Prodigal:2.6,-5.239397464,7.61148645,-21.65476578,5.74642556824957e-26,1.4747110321941e-24,48.70112962
BJEIHDPM_04037,bdlA_5,-5.474548501,7.110524131,-21.64718676,5.83251894317011e-26,1.48152732763084e-24,48.55097901
BJEIHDPM_02026,inference=ab initio prediction:Prodigal:2.6,-5.120389304,7.113921874,-21.64610985,5.84485824591371e-26,1.48152732763084e-24,48.57493033
BJEIHDPM_01194,inference=ab initio prediction:Prodigal:2.6,-5.483087025,7.354471882,-21.64430475,5.86560100541488e-26,1.48152732763084e-24,48.60346429
BJEIHDPM_02576,4.3.1.7,-5.143794011,7.303435496,-21.64127659,5.90056683477337e-26,1.48255603351191e-24,48.6204097
BJEIHDPM_01227,1.16.3.1,-4.938972767,7.216657037,-21.62529767,6.08862381682774e-26,1.52183883838314e-24,48.57874386
